"Course","MATH001","Algebra","Math","UBC","","kBstNnLnZquQ"
"Course","MATH002","Pre-Calculus","Math","UBC","","g7PZZ28KNqbR"
"Course","MATH100","Differential Calculus with Applications to Physical Sciences and Engineering","Math","UBC","","3usb2JbmKqpX"
"Course","MATH101","Integral Calculus with Applications to Physical Sciences and Engineering","Math","UBC","","39LVkoceAVEZ"
"Course","MATH102","Differential Calculus with Applications to Life Sciences","Math","UBC","","ByXDCbKE2dql"
"Course","MATH103","Integral Calculus with Applications to Life Sciences","Math","UBC","","opjFDJ5pB9g6"
"Course","MATH104","Differential Calculus with Applications to Commerce and Social Sciences","Math","UBC","","awKnCbqoO8S5"
"Course","MATH105","Integral Calculus with Applications to Commerce and Social Sciences","Math","UBC","","Pg70DwdKJtBt"
"Course","MATH110","Differential Calculus","Math","UBC","","6m6M7qmrvOg1"
"Course","MATH120","Honours Differential Calculus","Math","UBC","","yOm4Fbh5zdD6"
"Course","MATH121","Honours Integral Calculus","Math","UBC","","DIl5xAk2uwi0"
"Course","MATH152","Linear Systems","Math","UBC","","rA4YYXiIMVeQ"
"Course","MATH180","Differential Calculus with Physical Applications","Math","UBC","","lK1YdUqQ9BE3"
"Course","MATH184","Differential Calculus for Social Science and Commerce","Math","UBC","","ALAjLk8A0z8L"
"Course","MATH190","Calculus Survey","Math","UBC","","J61zf10FYODt"
"Course","MATH200","Calculus III","Math","UBC","","SgvkWhuyxaZg"
"Course","MATH210","Introduction to Mathematical Computing","Math","UBC","","uY9p1Vx11o2Q"
"Course","MATH215","Elementary Differential Equations I","Math","UBC","","3T3VmV7avgqu"
"Course","MATH217","Multivariable and Vector Calculus","Math","UBC","","CWTfXrXQOthm"
"Course","MATH220","Mathematical Proof","Math","UBC","","TsaaB0WvYIaD"
"Course","MATH221","Matrix Algebra","Math","UBC","","ZJYmLFfcgqk2"
"Course","MATH223","Linear Algebra","Math","UBC","","1XgAEKt8ub3s"
"Course","MATH226","Advanced Calculus I","Math","UBC","","lyn0pns0sZe3"
"Course","MATH227","Advanced Calculus II","Math","UBC","","nYR7HApyWgk2"
"Course","MATH253","Multivariable Calculus","Math","UBC","","YCJMGrJ4BWuh"
"Course","MATH255","Ordinary Differential Equations","Math","UBC","","sCRCjht1cNON"
"Course","MATH256","Differential equations","Math","UBC","","3BVSgH2rV4RC"
"Course","MATH257","Partial Differential Equations","Math","UBC","","OApK1BApOFj1"
"Course","MATH264","Vector Calculus for Electrical Engineering","Math","UBC","","IY9H72TZFKXl"
"Course","MATH300","Introduction to Complex Variables","Math","UBC","","GCt2ReNGdglh"
"Course","MATH301","Applied Analysis","Math","UBC","","n96tQHwhexzJ"
"Course","MATH302","Introduction to Probability","Math","UBC","","YXFlE3YKvKIv"
"Course","MATH303","Introduction to Stochastic Processes","Math","UBC","","VexU4mcy1cph"
"Course","MATH305","Applied Complex Analysis","Math","UBC","","4tvR4jJxOfD3"
"Course","MATH307","Applied Linear Algebra","Math","UBC","","8kyGcQzI1mdm"
"Course","MATH308","Euclidean Geometry","Math","UBC","","b5pm7ACzs7sC"
"Course","MATH310","Abstract Linear Algebra","Math","UBC","","6U5v7Dgw4Ij6"
"Course","MATH312","Introduction to Number Theory","Math","UBC","","7v6UUlqZgnWs"
"Course","MATH313","Topics in Number Theory","Math","UBC","","WwOw08uqS3z5"
"Course","MATH316","Elementary Differential Equations II","Math","UBC","","t7V7dWaPRfwV"
"Course","MATH317","Calculus IV","Math","UBC","","EJ2VMSlxvmQT"
"Course","MATH318","Probability with Physical Applications","Math","UBC","","9GRQ8AMVS3fB"
"Course","MATH320","Real Variables I","Math","UBC","","bUmr3OM382Pi"
"Course","MATH321","Real Variables II","Math","UBC","","6Qqzkc5Ik6d3"
"Course","MATH322","Introduction to Group Theory","Math","UBC","","r4uUzMfcKBAy"
"Course","MATH323","Introduction to Rings and Modules","Math","UBC","","hQEkgtUHGZMW"
"Course","MATH335","Introduction to Mathematics","Math","UBC","","HU1mxJVF8kBe"
"Course","MATH340","Introduction to Linear Programming","Math","UBC","","PRXOVpaaixhK"
"Course","MATH341","Introduction to Discrete Mathematics","Math","UBC","","mPgyTkyMNk4A"
"Course","MATH342","Algebra and Coding Theory","Math","UBC","","QARfcapGSbId"
"Course","MATH345","Applied Nonlinear Dynamics and Chaos","Math","UBC","","PU9K0BuqU2Jq"
"Course","MATH358","Engineering Analysis","Math","UBC","","1oX58a6HuLHb"
"Course","MATH360","Mathematical Modeling in Science","Math","UBC","","9yY0ztcvNCbV"
"Course","MATH398","Co-operative Work Placement I","Math","UBC","","a3AXPJ23rFhS"
"Course","MATH399","Co-operative Work Placement II","Math","UBC","","FhzP2GUWPSsh"
"Course","MATH400","Applied Partial Differential Equations","Math","UBC","","eM5YBGFsTeDp"
"Course","MATH401","Green's Functions and Variational Methods","Math","UBC","","Z793wy5NUbAL"
"Course","MATH405","Numerical Methods for Differential Equations","Math","UBC","","vbAlndEYHWas"
"Course","MATH406","Variational and Approximate Methods in Applied Mathematics","Math","UBC","","eEZTBFIUWhaY"
"Course","MATH412","Advanced Linear Algebra","Math","UBC","","fQ2ELyr164rm"
"Course","MATH414","Mathematical Demonstrations","Math","UBC","","F1W67Pb98VGc"
"Course","MATH418","Probability","Math","UBC","","AiAWfoOWleBp"
"Course","MATH419","Stochastic Processes","Math","UBC","","rUBAxb2zWwFX"
"Course","MATH420","Real Analysis I","Math","UBC","","iyuD1rZZ2K5r"
"Course","MATH421","Real Analysis II","Math","UBC","","1qxlSLCxEEYf"
"Course","MATH422","Fields and Galois Theory","Math","UBC","","EpFc9mOBNoaw"
"Course","MATH423","Topics in Algebra","Math","UBC","","y9RBjHSzvdII"
"Course","MATH425","Introduction to Modern Differential Geometry","Math","UBC","","EJJ1j2jwTOHe"
"Course","MATH426","Introduction to Topology","Math","UBC","","pJyFo5zwBFkc"
"Course","MATH427","Topics in Topology","Math","UBC","","2BfYWodowgEK"
"Course","MATH430D","Special Topics in Analysis - TOPICS IN ANLYS","Math","UBC","","YbhRhZAUplPj"
"Course","MATH437","Number Theory","Math","UBC","","V69T1XSEuU1f"
"Course","MATH440","Complex Analysis","Math","UBC","","x90jTCvRZvWm"
"Course","MATH441","Mathematical Modeling: Discrete Optimization Problems","Math","UBC","","e2vyEtsQQ4V2"
"Course","MATH442","Optimization in Graphs and Networks","Math","UBC","","5YpxppBrJ0hN"
"Course","MATH443","Graph Theory","Math","UBC","","CdAmxJYq9L12"
"Course","MATH444","Mathematical Research and Writing","Math","UBC","","w1s1kEsmrgdk"
"Course","MATH448A","Directed Studies in Mathematics - DIRECTED STUDIES","Math","UBC","","LAQfRS62t5Dw"
"Course","MATH448B","Directed Studies in Mathematics - DIRECTED STUDIES","Math","UBC","","0h1aJ2OOxodn"
"Course","MATH449D","Honours Reading - HONOURS READING","Math","UBC","","IhzlbyIl0ty3"
"Course","MATH450","Asymptotic and Perturbation Methods","Math","UBC","","dufs9G0YoV25"
"Course","MATH462","Projects in Mathematical Biology","Math","UBC","","y0imCGZr4Bm6"
"Course","MATH498","Co-operative Work Placement III","Math","UBC","","NcaIQKYL37sG"
"Course","MATH499","Co-operative Work Placement IV","Math","UBC","","iikWG6KO4h7u"
"Course","MATH501","Algebra I","Math","UBC","","vfIvR3SMs4j0"
"Course","MATH502","Algebra II","Math","UBC","","pLMlH5ejDWKU"
"Course","MATH503","Discrete Mathematics","Math","UBC","","XpWsb6hBCMDP"
"Course","MATH507","Measure Theory and Integration","Math","UBC","","BR10RGq66EJl"
"Course","MATH508","Complex Analysis","Math","UBC","","5b0FP9xwg6zJ"
"Course","MATH510","Functional Analysis","Math","UBC","","TcynyIOUdAzb"
"Course","MATH515","Partial Differential Equations of Fluid Mechanics","Math","UBC","","gBl3RUULI7dn"
"Course","MATH516","Partial Differential Equations I","Math","UBC","","QGcEghiMg4S9"
"Course","MATH517","Partial Differential Equations II","Math","UBC","","kED6d49MCaRP"
"Course","MATH521","Numerical Analysis of Partial Differential Equations","Math","UBC","","P1uuZY5cA7tF"
"Course","MATH523","Combinatorial Optimization","Math","UBC","","jaeKJ6HXLybB"
"Course","MATH525","Differential Geometry I","Math","UBC","","cS6CRw0xKgUz"
"Course","MATH526","Differential Geometry II","Math","UBC","","vyijrylUCrQl"
"Course","MATH527","Algebraic Topology I","Math","UBC","","66ikwRIzTuyq"
"Course","MATH534","Lie Theory I","Math","UBC","","0uUEBASchWA4"
"Course","MATH535","Lie Theory II","Math","UBC","","63NIlduchH6F"
"Course","MATH537","Elementary Number Theory","Math","UBC","","y1xL9ZyCoJJw"
"Course","MATH539","Analytic Number Theory","Math","UBC","","nTctg80VMCah"
"Course","MATH541","Harmonic Analysis I","Math","UBC","","z8p3QDkpv58x"
"Course","MATH542","Harmonic Analysis II","Math","UBC","","wDWFpyKqslXe"
"Course","MATH544","Probability I","Math","UBC","","Dz655WAhG1B8"
"Course","MATH545","Probability II","Math","UBC","","T6XrKXcRAo3b"
"Course","MATH546","Continuous Time Stochastic Processes","Math","UBC","","M1hKcNoaOOMb"
"Course","MATH549A","Thesis for Master's Degree - MASTERS THESIS","Math","UBC","","LAO0QK5mylib"
"Course","MATH549B","Thesis for Master's Degree - MASTERS THESIS","Math","UBC","","vumGvu6OAfoO"
"Course","MATH550","Methods of Asymptotic Analysis","Math","UBC","","SSMJ7Dnge90M"
"Course","MATH552","Introduction to Dynamical Systems","Math","UBC","","x7MHOOfVrdNn"
"Course","MATH556","Industrial Mathematical Modelling","Math","UBC","","tYLpqTrfveu3"
"Course","MATH560","Mathematical Biology","Math","UBC","","HyYNIwNaJ6Yg"
"Course","MATH562","Mathematical Electrophysiology","Math","UBC","","6NiPTl4QjojG"
"Course","MATH589","M.Sc. Major Essay","Math","UBC","","IaPauifUvYXY"
"Course","MATH592A","Topics in Automorphic Forms - AUTOMORPHIC FORM","Math","UBC","","Ed1tSqIFEtBi"
"Course","MATH599","Mathematics Teaching Techniques","Math","UBC","","4g4UpOUZ61jE"
"Course","MATH600D","Topics in Algebra - TOPICS IN ALGBRA","Math","UBC","","y25P8G1ViKSR"
"Course","MATH601D","Topics in Analysis - TOPICS IN ANALYS","Math","UBC","","LQhdXUcBX7i7"
"Course","MATH603D","Topics in Topology - TOPICS TOPOLOGY","Math","UBC","","pm51TxSzrYY3"
"Course","MATH606D","Topics in Differential Equations - TPCS DIFRNTL EQU","Math","UBC","","y7TQRzWHQsgB"
"Course","MATH607E","Topics in Numerical Analysis - TPCS NUMERIC ANL","Math","UBC","","5RZU1HmNTDCU"
"Course","MATH608D","Topics in Probability - TPCS PROBABILITY","Math","UBC","","LRyEcAPWQAXr"
"Course","MATH615A","Topics in Algebraic Geometry - ALGEBRAIC GEOMET","Math","UBC","","WsuAdp1PYoX1"
"Course","MATH615B","Topics in Algebraic Geometry - ALGEBRAIC GEOMET","Math","UBC","","A4U1PvoLrfqE"
"Course","MATH620D","Directed Studies in Mathematics - DIRECT STDS MATH","Math","UBC","","FbHy6Vo1pnus"
"Course","MATH649","Doctoral Dissertation","Math","UBC","","Brwmxb037zqH"
"Course","BIOL111","Introduction to Modern Biology","Biology","UBC","","5A6IYJXdNvbT"
"Course","BIOL112","Biology of the Cell","Biology","UBC","","1TbE96LQOoHM"
"Course","BIOL121","Genetics, Evolution and Ecology","Biology","UBC","","FObT5N7oFn5f"
"Course","BIOL140","Laboratory Investigations in Life Science","Biology","UBC","","te7EHjdMD2bD"
"Course","BIOL153","Human Biology","Biology","UBC","","rmqeHBZ71DKx"
"Course","BIOL155","Human Biology","Biology","UBC","","76ApkPfK4urj"
"Course","BIOL200","Fundamentals of Cell Biology","Biology","UBC","","TeZeLS5jTMs8"
"Course","BIOL201","Introduction to Biochemistry","Biology","UBC","","HOTlLTrpuiVT"
"Course","BIOL203","Eukaryotic Microbiology","Biology","UBC","","Gs2b1hrQEZhq"
"Course","BIOL204","Vertebrate Structure and Function","Biology","UBC","","0u5umHoT1nJF"
"Course","BIOL205","Comparative Invertebrate Zoology","Biology","UBC","","B3E8HF9yE2H1"
"Course","BIOL209","Biodiversity of algae, fungi and bryophytes","Biology","UBC","","uaFCJekmmC3p"
"Course","BIOL210","Vascular Plants","Biology","UBC","","KNqPYmiEtJlc"
"Course","BIOL230","Fundamentals of Ecology","Biology","UBC","","wByf4b9WZRLk"
"Course","BIOL233","Genetics for Life","Biology","UBC","","8Js2NVzVWhHc"
"Course","BIOL234","Fundamentals of Genetics","Biology","UBC","","FVMC9eW3bYBi"
"Course","BIOL260","Fundamentals of Physiology","Biology","UBC","","WG1ZcOUetYNK"
"Course","BIOL300","Fundamentals of Biostatistics","Biology","UBC","","klAhPsKWgZw4"
"Course","BIOL301","Biomathematics","Biology","UBC","","b2n7lMJSAIYU"
"Course","BIOL306","Advanced Ecology","Biology","UBC","","vtlCu7ReFxJY"
"Course","BIOL310","Introduction to Animal Behaviour","Biology","UBC","","4z57hbCFDfTB"
"Course","BIOL320","Survey of Algae","Biology","UBC","","lEJ7oiy3jW1h"
"Course","BIOL323","Structure and Reproduction of Fungi","Biology","UBC","","WuXr2OwoD5hn"
"Course","BIOL324","Introduction to Seed Plant Taxonomy","Biology","UBC","","pOySWBcLkLPd"
"Course","BIOL325","Introduction to Animal Mechanics and Locomotion","Biology","UBC","","Yc4KoDK1bE5j"
"Course","BIOL326","Experimental Biology of Invertebrates","Biology","UBC","","6xjA1Rl1LqaM"
"Course","BIOL327","Introduction to Entomology","Biology","UBC","","QFOt5HK0mCmC"
"Course","BIOL328","Introductory Parasitology","Biology","UBC","","CFa7XKn8hdht"
"Course","BIOL331","Developmental Biology","Biology","UBC","","Ixq9EQOZE2y8"
"Course","BIOL332","Protistology","Biology","UBC","","wrvBKOLxptGm"
"Course","BIOL335","Molecular Genetics","Biology","UBC","","vYQgTiWaruaw"
"Course","BIOL336","Fundamentals of Evolutionary Biology","Biology","UBC","","s7E7fYwsnsAN"
"Course","BIOL337","Introductory Genetics Laboratory","Biology","UBC","","lkDvvbsG4366"
"Course","BIOL338","Introduction to Genomics","Biology","UBC","","zqKL5UEMbPHr"
"Course","BIOL340","Introductory Cell Biology Laboratory","Biology","UBC","","teTiiAt0Vns9"
"Course","BIOL341","Introductory Molecular Biology Laboratory","Biology","UBC","","PXIN2eCHRqwk"
"Course","BIOL342","Integrative Biology Laboratory","Biology","UBC","","wHXYgcc6mMiz"
"Course","BIOL343","Plants and Peoples","Biology","UBC","","YMBbm1dfs2hR"
"Course","BIOL344","Human Heredity and Evolution","Biology","UBC","","emBFlZ7mzLB3"
"Course","BIOL345","Human Ecology","Biology","UBC","","xfaSUdWiTN41"
"Course","BIOL346","Microbes and Society","Biology","UBC","","DsAo3ipxTGax"
"Course","BIOL347","Principles and Methodology in Biological Research","Biology","UBC","","FWP0LkSXgr7w"
"Course","BIOL351","Plant Physiology I","Biology","UBC","","U624nISQZ0X9"
"Course","BIOL352","Plant Physiology II: Plant Development","Biology","UBC","","i8zjGtkrjq42"
"Course","BIOL361","Physiology of Sensory, Nervous and Muscular Systems","Biology","UBC","","mMKQ8ZM2Xkwa"
"Course","BIOL362","Cellular Physiology","Biology","UBC","","AaZLspcwkjL4"
"Course","BIOL363","Laboratory in Animal Physiology","Biology","UBC","","Tit5qIFIDVB8"
"Course","BIOL364","Animal Physiology","Biology","UBC","","2Fk8IN2lqabf"
"Course","BIOL398","Co-operative Work Placement I","Biology","UBC","","2ApkPpzPpYHU"
"Course","BIOL399","Co-operative Work Placement II","Biology","UBC","","y8NDzgznhJIB"
"Course","BIOL402","Aquatic Ecology","Biology","UBC","","yzwyijV30VCD"
"Course","BIOL404","Ecological Methodology","Biology","UBC","","ogfnDZYnaiUY"
"Course","BIOL411","Insect Ecology","Biology","UBC","","2o6tOi5hzWao"
"Course","BIOL412","Phytogeography","Biology","UBC","","mLk28IFYB611"
"Course","BIOL413","Zoogeography","Biology","UBC","","HC1FAOHCnk9b"
"Course","BIOL415","Evolutionary Processes in Plants","Biology","UBC","","awwg8Wx0PUEJ"
"Course","BIOL416","Principles of Conservation Biology","Biology","UBC","","A9gyEYTeXsZQ"
"Course","BIOL417","Phylogenetic Biology","Biology","UBC","","eUFzT08b3kQG"
"Course","BIOL418","Evolutionary Ecology","Biology","UBC","","iEml6mzotXDN"
"Course","BIOL421","Plant-Microbe Interactions","Biology","UBC","","jh59xcJ71hnI"
"Course","BIOL427","Ornithology and Herpetology","Biology","UBC","","tf30Tq8s7heM"
"Course","BIOL428","Evolutionary Morphology of Marine Invertebrates","Biology","UBC","","VJQkaFCztWnc"
"Course","BIOL430","Genome Evolution","Biology","UBC","","Oxp8IZ8vMT1f"
"Course","BIOL432","Research Strategies and Techniques in Cell Biology","Biology","UBC","","HmD929HbIcau"
"Course","BIOL433","Plant Genetics","Biology","UBC","","schnS73rIoB4"
"Course","BIOL434","Population Genetics","Biology","UBC","","zOxlTWRIV8RA"
"Course","BIOL436","Integrated Functional Genomics","Biology","UBC","","VASbotrJfa1x"
"Course","BIOL437","Laboratory in Animal Cell Molecular Biology","Biology","UBC","","0mfEUNcokBoC"
"Course","BIOL438","Zoological Physics","Biology","UBC","","i4KHqpgvBbHi"
"Course","BIOL440","Plant Genomics","Biology","UBC","","RPYd5KFL0hcc"
"Course","BIOL441","Cell Biology of Intracellular Trafficking","Biology","UBC","","Hg62EeWTXHRh"
"Course","BIOL445","Darwin's Fishes","Biology","UBC","","4w0GPfhlrftg"
"Course","BIOL446","History and Philosophy of Biology","Biology","UBC","","aTsT0NxtnQxn"
"Course","BIOL447","Principles and Methodology in Biological Research","Biology","UBC","","oJUa3pyLnx2q"
"Course","BIOL448A","Directed Studies in Biology - DIRECTED STUDIES","Biology","UBC","","yOgpfoCvHuzr"
"Course","BIOL448C","Directed Studies in Biology - DIRECTED STUDIES","Biology","UBC","","RNcvPNK3go0E"
"Course","BIOL448D","Directed Studies in Biology - DIRECTED STUDIES","Biology","UBC","","m8IdFRfcEw5V"
"Course","BIOL449","Directed Biological Research","Biology","UBC","","XA1BFE8q14UA"
"Course","BIOL450","Molecular Adaptation of Animals to the Environment","Biology","UBC","","scmyzZZLTZJX"
"Course","BIOL454","Comparative Animal Physiology","Biology","UBC","","laedDIIRl22P"
"Course","BIOL455","Comparative Neurobiology","Biology","UBC","","HyZCKsLpsH5y"
"Course","BIOL457","Comparative Environmental Physiology","Biology","UBC","","B3S33fU9HCuj"
